N°;Contenedor;Fecha Llegada;Estado;FOB;Aduana;Naviera;Almacén;Poggi
1;643;;Entregado;70380;25365.5;2725.5;3105;7360
2;644;;Entregado;63048.75;17517;2725.5;3105;7360
3;648;;Entregado;52540.05;13278;2777.25;3105;7360
4;653;;Entregado;83117.4;40825.3;2777.25;3105;7400
5;654;19/04/2026;Entregado;69495.075;28381.9;3018.75;3277.5;7400
6;655;19/04/2026;Entregado;60116.25;15206;3018.75;3277.5;7400
7;656;18/04/2026;Entregado;68917.2;26760.55;3001.5;3277.5;7400
8;657;18/04/2026;Entregado;69888.375;34834.55;3001.5;3277.5;7400
9;658;18/04/2026;Entregado;68223.75;20817.5;3001.5;3277.5;7400
10;659;20/04/2026;Entregado;51536.1;15271.5;2777.25;4140;7490
11;660;17/04/2026;Entregado;43211.25;14767.96;2777.25;3105;7400
12;661;17/04/2026;Entregado;51434.325;17297.04;2777.25;3105;7400
13;662;26/04/2026;Entregado;47748;17177.5;2777.25;3381;7450
14;663;7/05/2026;Entregado;66869.5905;21802.5;2777.25;3381;7450
15;664;1/05/2026;Entregado;68917.2;20452.32;2777.25;3795;7450
16;665;1/05/2026;Entregado;65511.5325;18612.5;2777.25;3381;7450
17;666;1/05/2026;Entregado;70380;25340.15;2777.25;3484.5;7450
18;667;1/05/2026;Entregado;70281.675;29127.31;2777.25;3795;7450
19;668;1/05/2026;Entregado;51756.21;24691;2777.25;3381;7450
20;669;1/05/2026;Entregado;45540;12118;2777.25;3381;7450
21;670;1/05/2026;Entregado;38036.25;14846;2777.25;3381;7450
22;671;13/05/2026;Entregado;50469.5325;15820.07;2518.5;3381;7450
23;672;13/05/2026;En aduana;0;0;0;0;0
24;673;18/05/2026;En aduana;54458.25;18780.52;2863.5;3415.5;7450
25;674;18/05/2026;En aduana;0;0;0;0;0
26;675;18/05/2026;Entregado;43780.5;16443.96;2863.5;3105;7450
27;676;18/05/2026;En aduana;0;0;0;0;0
28;677;17/05/2026;En aduana;0;0;0;0;0
29;678;17/05/2026;Entregado;54251.25;26251.5;2725.5;2863.5;7450
30;679;20/05/2026;En aduana;27317.1;10700.18;2584.05;3105;7410
31;681;18/05/2026;En aduana;0;0;0;0;0
32;682;18/05/2026;En aduana;0;0;0;0;0
33;687;14/06/2026;En tránsito;0;0;0;0;0
34;688;4/06/2026;En tránsito;0;0;0;0;0
35;689;4/06/2026;En tránsito;0;0;0;0;0
36;690;11/06/2026;En tránsito;0;0;0;0;0
37;691;11/06/2026;En tránsito;0;0;0;0;0
38;692;11/06/2026;En tránsito;0;0;0;0;0
39;693;11/06/2026;En tránsito;0;0;0;0;0
40;694;11/06/2026;En tránsito;0;0;0;0;0
41;695;11/06/2026;En tránsito;0;0;0;0;0
42;696;11/06/2026;En tránsito;0;0;0;0;0
43;697;11/06/2026;En tránsito;0;0;0;0;0
44;698;6/07/2026;En tránsito;0;0;0;0;0
45;699;11/06/2026;En tránsito;0;0;0;0;0
